City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,dingle,10.9995,122.6711,32.03,55,39,2.44,PH,1681441902
124,mantua,45.1667,10.7833,8.34,88,99,1.34,IT,1681442031
125,tawang,27.5833,91.8667,14.76,43,18,1.95,IN,1681442031
126,broken hill,-31.95,141.4333,22.17,38,28,4.12,AU,1681442031
127,hobart,-42.8794,147.3294,16.26,69,75,2.06,AU,1681441852
128,arraial do cabo,-22.9661,-42.0278,23.85,91,9,3.92,BR,1681442031
129,phan thiet,10.9333,108.1,31.25,61,99,2.54,VN,1681441930
130,yeysk,46.6989,38.2792,8.8,94,100,10.41,RU,1681442032
131,bathsheba,13.2167,-59.5167,26.34,73,40,6.17,BB,1681442032
132,oktyabrskiy,54.4815,53.471,-0.4,67,100,9.48,RU,1681441855
133,ust-nera,64.5667,143.2,-3.44,83,58,2.09,RU,1681442033
134,mithi,24.7318,69.7981,28.55,47,0,6.99,PK,1681441944
135,marrakesh,31.6315,-8.0083,15.04,67,0,1.03,MA,1681442033
136,mitsamiouli,-11.3847,43.2844,27.31,75,26,3.43,KM,1681442033
137,obo,5.3998,26.4869,19.46,92,100,1.29,CF,1681442034
138,east london,-33.0153,27.9116,17.64,64,56,7.07,ZA,1681441794
139,klaksvik,62.2266,-6.589,6.51,90,100,5.45,FO,1681441824
140,san patricio,28.017,-97.5169,22.92,71,41,4.73,US,1681441887
141,hilo,19.7297,-155.09,23.4,83,100,1.34,US,1681442035
142,yellowknife,62.456,-114.3525,-4.13,73,100,3.58,CA,1681442035
143,nishihara,26.1842,127.7558,25.6,87,100,5.66,JP,1681442016
144,goure,13.9835,10.2704,23.44,13,71,3.65,NE,1681442035
145,ambilobe,-13.2,49.05,21.63,96,16,1.54,MG,1681442035
146,dubrovnik,42.6481,18.0922,11.8,100,75,3.09,HR,1681442036
147,eatonton,33.3268,-83.3885,17.78,92,70,2.59,US,1681442036
148,makakilo city,21.3469,-158.0858,27.18,61,40,8.23,US,1681442036
149,isangel,-19.55,169.2667,28.34,75,100,4.31,VU,1681441835
150,cabo san lucas,22.8909,-109.9124,24.61,70,20,5.14,MX,1681441691
151,wuwei,37.9281,102.6414,10.42,34,81,2.76,CN,1681442036
152,faanui,-16.4833,-151.75,27.48,70,3,2.71,PF,1681441829
153,madison heights,42.4859,-83.1052,22.14,42,0,2.57,US,1681442001
154,thompson,55.7435,-97.8558,0.33,100,100,0.93,CA,1681441731
155,aragarcas,-15.8975,-52.2508,22.7,92,91,0.46,BR,1681442037
156,mount isa,-20.7333,139.5,32.87,15,96,2.06,AU,1681441931
157,mahebourg,-20.4081,57.7,24.58,83,1,0.73,MU,1681441844
158,itacare,-14.2775,-38.9967,24.36,88,69,2.78,BR,1681442038
159,mehran,33.1222,46.1646,16.32,53,51,3.23,IR,1681442038
160,hualmay,-11.0964,-77.6139,24.5,76,98,4.46,PE,1681441888
161,rasinari,45.7,24.0667,5.0,87,40,2.57,RO,1681442038
162,manokwari,-0.8667,134.0833,29.06,70,46,2.69,ID,1681442038
163,flin flon,54.7682,-101.865,-0.83,97,100,1.39,CA,1681442039
164,statesboro,32.4488,-81.7832,17.89,94,100,0.0,US,1681442039
165,price,39.5994,-110.8107,9.51,45,75,8.23,US,1681441993
166,tasiilaq,65.6145,-37.6368,0.09,89,66,2.28,GL,1681441854
167,springfield,37.2153,-93.2982,17.92,45,0,3.09,US,1681441362
168,nizhneangarsk,55.7833,109.55,-7.34,71,18,1.39,RU,1681442040
169,moerai,-22.4333,-151.3333,24.69,68,100,6.58,PF,1681442040
170,rio grande,-32.035,-52.0986,16.55,65,10,4.66,BR,1681441903
171,vallenar,-28.5708,-70.7581,17.22,65,0,0.53,CL,1681442040
172,porto novo,6.4965,2.6036,26.59,87,21,2.88,BJ,1681442041
173,mar del plata,-38.0023,-57.5575,12.19,62,97,1.34,AR,1681441830
174,mackay,-21.15,149.2,31.49,51,0,5.32,AU,1681442041
175,nyimba,-14.5566,30.8149,17.59,95,9,1.44,ZM,1681442041
176,oranjemund,-28.55,16.4333,14.5,93,100,4.05,NA,1681442041
177,ponta do sol,32.6667,-17.1,17.78,71,79,3.82,PT,1681441861
178,sambava,-14.2667,50.1667,23.12,91,11,1.77,MG,1681442042
179,west bay,19.3667,-81.4167,27.04,83,20,3.6,KY,1681442042
180,vila velha,-20.3297,-40.2925,24.97,93,20,3.09,BR,1681441864
181,lompoc,34.6391,-120.4579,11.55,81,0,5.14,US,1681441852
182,georgetown,5.4112,100.3354,31.96,74,20,3.6,MY,1681441739
183,port macquarie,-31.4333,152.9167,24.38,64,14,6.17,AU,1681441856
184,cervo,43.6702,-7.4101,12.44,85,100,9.18,ES,1681442043
185,koeru,58.9631,26.0308,3.75,75,100,5.36,EE,1681442043
186,addis abeba,9.025,38.7469,13.49,82,75,2.57,ET,1681441861
187,taua,-5.9667,-40.3,22.15,70,99,2.62,BR,1681442044
188,rocha,-34.4833,-54.3333,9.75,71,24,1.78,UY,1681441822
189,ahipara,-35.1667,173.1667,21.75,70,100,5.12,NZ,1681442044
190,montepuez,-13.1256,38.9997,19.15,99,86,1.18,MZ,1681442045
191,pevek,69.7008,170.3133,-15.62,86,99,1.5,RU,1681441814
192,kaitangata,-46.2817,169.8464,16.07,71,48,6.19,NZ,1681442045
193,beringovskiy,63.05,179.3167,-12.51,76,98,4.58,RU,1681441880
194,saskylakh,71.9167,114.0833,-11.02,87,54,7.34,RU,1681441830
195,otradnoye,59.7775,30.8181,1.03,81,97,4.13,RU,1681442046
196,grindavik,63.8424,-22.4338,3.26,93,75,4.63,IS,1681442046
197,aykhal,66.0,111.5,-5.71,90,97,10.51,RU,1681441856
198,rabak,13.1809,32.74,26.59,11,47,4.2,SD,1681442047
199,manoel urbano,-8.8389,-69.2597,23.18,96,100,0.87,BR,1681442047
200,olafsvik,64.8945,-23.7142,4.26,71,96,2.88,IS,1681442048
201,henties bay,-22.116,14.2845,14.22,86,0,2.75,NA,1681442048
202,shelburne,44.0787,-80.2041,17.35,49,69,4.84,CA,1681442048
203,maragogi,-9.0122,-35.2225,24.17,75,59,0.83,BR,1681441875
